INFO 2025-12-25 18:29:38,690 autoreload Watching for file changes with StatReloader
WARNING 2025-12-25 18:42:47,952 log "GET /api/submissions/ HTTP/1.1" 401 172
WARNING 2025-12-25 18:42:47,952 log "GET /api/journals/ HTTP/1.1" 401 172
INFO 2025-12-25 18:42:48,250 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:42:48,252 log "GET /api/submissions/ HTTP/1.1" 200 511
INFO 2025-12-25 18:42:50,440 log "GET /api/submissions/ HTTP/1.1" 200 511
INFO 2025-12-25 18:42:50,440 log "GET /api/journals/ HTTP/1.1" 200 649
WARNING 2025-12-25 18:42:58,575 log Unauthorized: /api/auth/me/
WARNING 2025-12-25 18:42:58,580 log "GET /api/auth/me/ HTTP/1.1" 401 58
WARNING 2025-12-25 18:42:58,584 log Unauthorized: /api/auth/me/
INFO 2025-12-25 18:42:58,584 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:42:58,585 log "GET /api/plans/ HTTP/1.1" 200 463
WARNING 2025-12-25 18:42:58,585 log "GET /api/auth/me/ HTTP/1.1" 401 58
INFO 2025-12-25 18:42:58,588 log "GET /api/submissions/ HTTP/1.1" 200 511
INFO 2025-12-25 18:42:58,600 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:42:58,600 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:42:58,602 log "GET /api/submissions/ HTTP/1.1" 200 511
INFO 2025-12-25 18:43:05,662 log "POST /api/auth/token/ HTTP/1.1" 200 489
INFO 2025-12-25 18:43:05,738 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:43:05,744 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:43:05,752 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:05,760 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:22,036 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:43:22,046 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:22,046 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:43:22,052 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:43:26,220 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:43:26,227 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:43:29,348 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:43:29,356 log "GET /api/plans/ HTTP/1.1" 200 463
